Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
114;Tupolev ;Tu 154 B;999XL;1;0;0;1972;37.5;47.8;11.3;96000;180;900;3000;3 Kuznetsov NK82;10500;2;3;32500;9600;10440000;1.6;Die Tu 154 ist die russische Antwort auf die dreistrahlige 727 und liegt hier schon in der verbesserten B Version vor.
124;NxT LvL Engineering;Space Voyager 2000;999XL;1;10;0;1998;x;x;x;x;90;5000;15000;3 Rockedyne SSME;2131920;4;4;370000;125000;200000000;2,5;Der Space Voyager beruht auf dem Rockwell Space Shuttle. Die Höchstgeschwindigkeit von 28000 kann nur in der Umlaufbahn der Erde erreicht werden. Der Voyager reist allerdings kurzzeitg in dieser Höhe und kann somit diese exorbitante Durchschnittsgeschwindigkeit erreichen.
121;McDonnell Douglas;MD 81;999XL;1;0;0;1978;x;x;x;x;172;950;2900;2 Pratt&Whitney JTD8D-209;8400;2;2;10000;3000;20000000;1,1;"Seit der Markteinführung 1965 sind die aktuellen Versionen immer weiter gestreckt worden. Die MD80 war auch als DC9 ""Super 80"" bekannt."
106;Boeing;777-300;999XL;1;4;10;1998;60.9;73.9;18,50;299370;550;911;10370;2 GE90-85B                                             ;62000;2;6;171170;8290;56000000;.8;Boeing möchte mit diesem neuen und ultramodernen Jet die europäische Konkurrenz weiter deklassieren. Dieser zweistrahlige Jet hat eine hohe Reichweite und ist ein harter Airbus Konkurrent.
120;Boeing;767-300 ER;999XL;1;0;0;1988;x;x;x;x;290;1012;9940;2 Rolls Royce-RB211-524D4D;14600;2;4;28000;2800;25000000;1,1;Seit 1978 ist die 767 ständig überarbeitet worden und fliegt nun in der aktuellen Version 767-300 ER v.a. für American Airlines.
105;Boeing;757-300;999XL;1;4;0;1998;37.9;47.3;13,60;122470;240;890;6455;2 Rolls-Royce RB211-535E4;40100;2;5;43490;4194;69000000;1;Der Rumpf dieses Mittelstreckenjets erinnert an die 707/727 Serie und ist auch an diesen angelehnt. Das Flugzeug ersetzt die 727 und ist in dieser Version ab 1998 erhältlich.
103;Boeing;747-400 Domestic;999XL;1;3;20;1989;64.9;70.7;19,30;272155;568;927;3185;4 Rolls-Royce RB211-524Hs;60300;2;6;204350;12788;84000000;.8;Die 747-400 Domestic ist in der Lage, über 500 Passagiere extrem schnell im Nahflugverkehr zu transportieren. 
104;Boeing;747-400 ;999XL;1;3;0;1989;64.9;70.7;19,30;396900;420;927;13490;4 Rolls-Royce RB211-524Hs;60300;3;5;216840;12788;92000000;1.1;Die letzte und immer noch aktuelle 747-400 ist die erneut überarbeitete Langstreckenversion der 747-300 und ist unter anderem an den Winglets zu erkennen. Sie benötigt 2 Besatzungen die eigene Ruheräume haben und hat ein voll digitales Cockpit.
102;Boeing;747-100;999XL;1;1;0;1971;59.6;70.7;19,30;270155;370;917;7163;4 Pratt & Whitney JT9D-7;46300;3;5;178700;13862;30000000;1.2;Die 1970 vorgestellte 747 (100) verblüffte durch die enorm hohe Reichweite und guten Flugleistungen. Sie ist mittlerweile mehrmals überarbeitet worden und fliegt heute immer noch in ihrer aktuellen Version.
101;Boeing;737-800;999XL;1;0;10;1998;29.6;37.4;11,10;79000;189;815;5420;2 General Electric CFM56-7b;23500;2;3;26020;3050;48000000;1;Die Boeing 737-400 ist eine der größeren Varianten des Kurzstreckenjets. Ihr Rumpf wurde verlängert und so das Fassungsvermögen erhöht. 
